sn, parent_name, student_name,Sex,Class, email, phone, phone2, birthdate
32,Mr.| James Odun Ayo,JAMES Meto Kara,Male,2A,jameskara@gmail.com,8096332541,9036254896,23-Oct
33,Mrs.| Abiodun Mercy Garce,ABIODUN Pelumi Banke,Female,2A,abiodunbanke@gmail.com,8054878523,9025896321,14-Feb
34,Mrs.| Arike Kikelomo Badmus,ARIKE Badmus Sunday,Male,2A,arikebadmus@gmail.com,8145896574,7042158697,12-Feb
35,Mrs.| Remi Ogungbile Lence,REMI Iye Life,Female,2A,remilife@gmail.com,9052684521,7025411566,10-Jul
36,Mrs.| Okonjo Waliu Bada,OKONJO Kuki kante,Male,2A,konjokuki@gmail.com,8152663325,8011225489,1-Jan
37,Mrs.| Olatunde Gabriel Laison,OLATUNDE Micheal Lutus,Male,2A,olatundelutus@gmail.com,1205689074,7056258977,19-Aug
38,Mrs.| Pillar Fajuyi Grace,PILLAR Bukola Love,Female,2A,pillarlove@gmail.com,7054631156,8156235495,25-Aug
39,Mr.| Awegbemi Banjo Kasa,AWEGBEMI Olaolu Olaleye,Male,2A,awegbemileye@gmail.com,8025412366,7044125563,18-Feb
40,Mr.| Oluwatobi Joba Kora,OLUWATOBI Moses Killa,Male,2B,olutoba@gmail.com,7013665895,8011254569,12-Mar
41,Mr.| Seyi Olajire Femi,SEYI Biola Imole,Male,2B,imole12@gmail.com,8056235412,9056224568,11-Jan
42,Mr.| Olusola Joseph Maxi,OLUSOLA Love  Abigeal,Female,2B,olusolaabi@gmail.com,8001546985,8145623584,28-Jan
43,Mr.| Fakorede Mattew Dami,FAKOREDE Damilola Kore,Male,2B,koredematt@gmail.com,8145887896,7014563215,14-Mar
44,Mr.| Adeeso Funmilola Cabli,ADEESO Santus Theo,Male,2B,theophelus2@gmail.com,8104500236,8053241123,25-Dec
45,Mr.| Opeyemi Folake Bintu,OPEYEMI Molade Lara,Female,2B,opeyemilara@gmail.com,8075048965,5026341256,17-Jun
46,Mrs.| Adeo Lateef Meriam,ADEO Kalid Ibrahim,Male,2B,adeokalid@gmail.com,8147859263,5023514589,16-Jul
47,Mr.| Molola Karaoke Mutab,MOLOLA Lanre Mushin,Male,2B,mololalanre@gmail.com,8154692586,7023514589,18-Dec
48,Mr.| Lario Messe Lonel,LARIO Kudrus Yola,Male,2B,larioyola@gmail.com,9023514578,7025698754,13-Sep
49,Mr.| Qulua Lancry Aculus,QULUA Mintao Adidu,Female,2B,mintoadi@gmail.com,8012456987,8012546987,16-Apr
50,Mrs.| Adeyemi Adeola Dedun,ADEYEMI Kalid kuka,Male,2C,adeyemikuka@gmIl.com,5023600548,8023615478,7-Aug
51,Mr.| Mukuta Tobi James,MUKUTA Isreal Kola,Male,2C,mukutakol@gmail.com,8056985623,8056235894,9-Sep
52,Mrs.| Simbiat Abiola Shakira,SIMBIAT Fathai Bello,Male,2C,nbellofat@gmail.com,8054987456,9036251456,4-Oct
53,Mrs.| Abosede Abiola Bulola,ABOSEDE Keredolu Loveth,Female,2C,abosedeloveth@gmail.com,8056234589,9056002358,9-Nov
54,Mr. |Benjamin Okoro Ojo,BENJAMIN Joseph Ayo,Male,2C,benjaminayo@gmail.com,8123654897,8123654879,8-Jan
55,Mrs.| Aminat Quadri Sanji,AMINAT Lawal Kolade,Male,2C,lawalkolade@gmail.com,7056231456,7023514896,5-Mar
56,Mr.| Qudus Abio Feruz,QUDUS Lekan sukuratula,Female,2C,lekansukura@gmail.com,7054623569,8025809631,13-Feb
57,Mr.| Fashola Kudaya Moses,FASHOLA Tinubu Erelu,Male,2C,tinubuerelu@gmail.com,8065231456,7054126354,1-Jun
58,Mrs.| Oluwafunmilayo Oyewola Adesua,OLUWAFUNMILAYO Timilehin Zacheus,Male,2C,timizach@gmail.com,8056293145,7025406321,15-Jun
59,Mr.| Idris Dauda Monsuru,IDRIS Kazeem remilekun,Male,2C,idrisremilekun@gmail.com,8032564189,8125698745,17-Nov
60,Mr.| Cway Lukas Karaka,CWAY Konga Saleem,Female,3A,cwaykonga@gmail.com,7056235698,7063251896,30-Jan
61,Mrs.| Salako Dada Kanrele,SALAKO Badrudeen Olaide,Male,3A,salakobadru@gmail.com,8065231456,7023632144,14-Feb
62,Mr.| Kunle Bimbo Bukola,KUNLE Afolayan Saheed,Male,3A,kunlesaheed@gmail.com,8145623548,7015968423,15-Apr
63,Mrs.| Mariam Sadiat Kufon,MARIAM Habib Segun,Male,3A,hsegun@gmail.com,7012365412,7014563289,29-Mar
64,Mr.| Alarape Amope Bintu,ALARAPE Jegudu Moshood,Male,3A,Jmoshood@gmail,7012456932,7021485312,30-Dec
65,Mr.| Korede Omidina Suara,KOREDE Ajihun Sue ,Male,3A,geresue@gmail.com,8013654789,9012365478,14-Jul
66,Mr.| Gberede Kintan Wura,GBEREDE Okikiola Peregun,Female,3A,okikiolagbere@gmail.com,8023541236,9036958745,23-Mar
67,Mrs.| Imoleayo Adua Lere,IMOLE Gbemi Oluomo,Male,3A,imoleoluomo@gmail.com,7056231456,9025415641,24-Jun
68,Mr.| Shotayo Shoyelu Kura,SHOTAYO Agolokante Shomefun,Female,3A,agolokante@gmail.com,8056214523,7083714963,7-Nov
69,Mr.| Yesufu Ijuan Ewatomi,YESUFU Sholapemi Arowolo,Male,3A,arowoloshola@gmail.com,8152648513,8215469874,3-Mar
70,Mr.| Sylvester Stanley Mattew,SYLVESTER Adeoti Itohan,Male,3B,Adeotiitohan@gmail.com,8025654218,7054136258,14-Oct
71,Mr.| Olayode Timothy Lexus,OLAYODE Grace Sanwolu,Female,3B,gracewolu@gmail.com,8140756232,9032548796,18-Nov
72,Mr.| Ogogo Tamilore Faith,OGOGO Niyi Luke,Male,3B,niyiluke@gmail.com,8125465896,8024515263,13-Jan
73,Mr.| Ogunbodede Layi Glover,OGUNBODEDE Ajileti Sanyeri,Male,3B,sanyeriajileti@gmail.com,8154698756,7045251466,14-Dec
74,Mr.| Eyiwuawi Wasiu Bello,EYIWUAWI Mojisola Tamilore,Female,3B,eyitamilore@gmail.com,9065234514,8136584796,6-Nov
75,Mr.|  Muhammed Musa Yahayah,MUHAMMED Teslim Ogorja,Male,3B,tesogor@gmail.com,8145736254,7059687431,2-Jan
76,Mr.| Aliu Yaradua Dauda,ALIU Dangote Maxwell,Male,3B,aliumaxwell@gmail.com,8156235895,1524562178,17-Dec
77,Mr.| Jacob David Jack,JACOB James Johnson,Male,3B,Johnsondavid@gmail.com,6052478975,7056421356,12-Feb
78,Mr.| JaImes Aaron Micheal,JAIMES Lolade Kerele,Male,3B,jaimeslolade@gmail.com,7065214578,7089652314,15-Nov
79,Mr.| Joshua Alex Thomas,JOSHUA Sebastian Veron,Male,3B,jveron@gmail.com,9068741963,8042056599,4-Jun
80,Mr.| George Leon Arthur,GEORGE Joel Liam,Male,3C,joelliam@gmail.com,8145932579,7031469874,17-Jul
81,Mr.| Mohammed Louis Owen,MOHAMMED Odunayo Abigeal,Female,3C,Odunayeab@gmail.com,8145239157,8129463514,25-Jun
82,Mr.| Reuben Alexander Harvey,REUBEN Funke Adan,Female,3C,funkeakin@gmail.com,9065843215,8026854132,12-Mar
83,Mr.| Luke Elijah Femi,LUKE Agagu Ojo,Male,3C,agaguojo@gmail.com,9038965123,7065239465,19-Nov
84,Mr.| Henry Adam Isaac,HENRY Mosunmade Sewa,Female,3C,mosunmolasewa@gmail.com,7055889966,8011543369,17-Apr
85,Mr.| Robert Mattew Festus,ROBERT Diekola Yinka,Male,3C,diekolayinka@gmail.com,7056987214,8156378954,12-Nov
86,Mr.| Edward Koyode Laide,EDWARD Micheal John,Male,3C,Mjohn@gmail.com,8045687532,7031445699,12-Dec
87,Mr.| Harrison Jackson Peter,HARRISON Asherifa Sunday,Male,3C,Ashsunday@gmail.con,7015987456,7038764156,15-Jan
88,Mr.| Caled Adeoti Adeoye,CALEB Mary Semilore,Female,3C,marysemilory@gmail.com,8045923146,8147963214,15-Mar
89,Mrs.| Adeleke Esther Dupe,ADELEKE Ademola Adetunji,Male,3C,AdeAdetunji@gmail.com,8175698542,7019553315,13-Mar
90,Mr.| Oluwsogo Isachaar Ola,OLUWASOGO Ebube Temitayo,Female,4A,sogebube@gmail.com,9011445587,8054112365,14-Jun
91,Mr.| Lasisi Riliwan Muyiwa,LASISI John Awambe,Male,4A,lasjohn@gmail.com,8145698254,8124995523,26-Feb
92,Mr.| Osunsoko Olawale Adio,OSUNSOKO Adewale Ayanyemi,Male,4A,sokoyemi@gmail.com,7056945511,8045698712,31-Dec
93,Mr.| Ayofe Ayoola Olaiya,AYOFE Ayandele Ajetunmobi,Male,4A,ajeayan@gmail.com,8156987456,7015935745,12-Feb
94,Mrs.| Monsura Olomola Adunni,Monsura Agbaje Tewogbade,Female,4A,mMonabig@gmail.com,8140759682,8152639874,15-Apr
95,Mr.| Ibukun Ajayi Sunda,IBUKUN Ipade Adeola,Female,4A,ibola@gmail.com,7045621458,8012348675,14-Nov
96,Mr.| Akinwumi Opeyemi Victor,AKINWUMI Gbadebo Rotimi,Male,4A,gbadebotote@gmail.com,8155456032,7015485632,17-Aug
97,Mr.| Iwayemi Samuel Gbenga,IWAYEMI Ruth Busola,Female,4A,iwasola@gmail.com,8104563214,9056893214,13-Jan
98,Mr.| Gabriel Akomolafe Godwill,GABRIEL Adenike Nifemi,Female,4A,gabife@gmail.com,9025896314,9032168475,16-Jan
99,Mrs.| Ogunrinde Oluwakemi Juliana,Ogunrinde Ishoola Saheed,Male,4A,ogunheed@gmail.com,7049687123,7056823145,19-Jan
100,Mr.| Musiliu Kehinde Ali,MUSILIU Lala Kazeem,Male,4A,musla@gmail.com,8145692314,8175632145,18-Nov
101,Mrs.| Ajayi Femi Olowabi ,AJAYI Taiwo Blessing,Male,4A,ajayifemi@gmail.com,7064428515,8012154856,4-Sep
102,Mr.| Samuel Adio Gabriel,SAMUEL Kehinde Joyce,Female,4A,samueladio@gmail.com,7058985623,8025632145,15-Oct
103,Mrs.| Adeleke Esther Dupe,ADELEKE Nurudeen Deji,Male,4A,AdeAdetunji@gmail.com,8175698542,7019553315,12-Nov
